   482.68	   765.52	D/C
   481.05	    56.29	A6
   481.05	    82.58	ESP_USB_P
   481.05	   217.96	1
   481.05	   233.08	OSCI
   481.05	   252.15	VDD
   481.05	   380.09	TF1
   481.05	   429.63	GND
   481.05	   740.87	EPD_CS12
   479.43	    42.34	DP1
   479.43	   210.28	22pF
   479.43	   226.33	2
   479.43	   264.01	9
   479.43	   765.52	CS
   477.57	    51.41	B7
   477.57	   233.08	OSCOCLKOUT
   477.57	   356.59	SD_D2
   477.57	   376.13	1
   477.57	   449.40	VCC3V3
   477.57	   653.87	C3
   477.57	   740.87	EPD_SCK13
   475.94	    41.87	DN2
   475.94	    80.48	R69
   475.94	   226.33	3
   475.94	   264.01	8
   475.94	   382.64	D2
   475.94	   666.20	L1
   475.94	   765.52	SCLK
   474.32	    56.29	A5
   474.32	   233.08	CLKOE
   474.32	   254.48	n.c.
   474.32	   356.59	SD_CS
   474.32	   376.13	2
   474.32	   423.82	9
   474.32	   740.87	EPD_DIN14
   472.46	    42.34	CC1
   472.46	   112.12	GND
   472.46	   210.28	RTC_INT4
   472.46	   264.01	7RTC_SCL
   472.46	   382.64	CD/D3
   472.46	   414.51	CD
   472.46	   458.48	R1110K
   472.46	   485.69	SD_CS
   472.46	   765.52	SDI
   470.83	    51.41	B8
   470.83	   233.08	INT
   470.83	   253.31	SCL
   470.83	   356.59	SD_MOSI3
   470.83	   666.20	10uH
   470.83	   720.63	C121uF/50VEPD_VCC15
   469.21	    40.47	SBU2
   469.21	    80.48	5.1K
   469.21	   226.33	5
   469.21	   247.03	P
   469.21	   264.01	6RTC_SDA
   469.21	   382.64	CMD
   469.21	   458.48	R8010K
   469.21	   485.69	SD_CLK
   469.21	   765.52	VDDIO
   466.65	     8.37	A
   466.65	    51.41	A4/B9
   466.65	    92.81	VBUS
   466.65	   233.08	VSS
   466.65	   247.03	ESDA
   466.65	   356.59	VCC3V3
   466.65	   376.13	4
   466.65	   650.84	4.7uF/25V
   466.65	   757.38	16
   466.65	   805.30	A
   465.72	    39.78	VBUS
   465.72	   288.20	C5
   465.72	   382.64	VDD
   465.72	   458.48	R6210K
   465.72	   485.69	SD_MISO
   465.72	   765.52	VCI
   464.10	    50.24	A1/B12
   464.10	   356.59	SD_CLK
   464.10	   376.13	5
   464.10	   512.91	R79
   464.10	   757.38	17
   462.70	   288.20	1uF
   462.70	   677.60	C13
   462.24	    41.17	GND
   462.24	   223.77	PCF85063ATL
   462.24	   382.64	CLK
   462.24	   458.48	R6310K
   462.24	   485.69	SD_MOSI
   462.24	   765.52	VSS
   460.61	    53.04	MTB
   460.61	   245.17	1
   460.61	   356.59	GND
   460.61	   376.13	6
   460.61	   512.91	NC
   460.61	   592.46	EPD_VCC_AXP
   460.61	   628.75	EPD_VCC
   460.61	   720.63	C41uF/50V
   460.61	   757.38	18
   459.45	   245.17	1
   458.99	    41.17	GND
   458.99	   382.64	VSS
   458.99	   458.48	R6410K
   458.99	   485.69	SD_D2
   458.99	   765.52	VDD
   457.36	   356.59	SD_MISO
   457.36	   376.13	7
   457.36	   413.58	D
   457.36	   757.38	19
   455.50	   382.64	D0
   455.50	   458.48	R6510K
   455.50	   485.69	SD_D1
   455.50	   765.52	VPP
   454.34	   413.58	N
   453.88	    33.26	H1
   453.88	   356.59	SD_D1
   453.88	   376.13	8
   453.88	   608.28	R13
   453.88	   626.89	NC
   453.88	   671.31	4.7uF/25V
   453.88	   720.63	C64.7uF/25V
   453.88	   757.38	20
   452.25	   382.64	D1
   452.25	   413.58	G
   452.25	   765.52	VSH1
   450.86	   580.83	Q2
   450.39	   542.91	VCC3V3
   450.39	   673.18	D1
   450.39	   720.63	C74.7uF/25VVGH21
   449.00	   658.06	D2
   449.00	   688.53	D3
   449.00	   765.52	VGH
   447.14	   373.57	TF
   447.14	   383.81	 TF-07F
   447.14	   576.87	2
   447.14	   590.60	3
   447.14	   608.28	R17
   447.14	   626.89	0R
   447.14	   720.63	C84.7uF/25V
   447.14	   757.38	22
   445.52	   411.95	0
   445.52	   654.80	MBR0530MBR0530MBR0530
   445.52	   765.52	VSL
   443.66	    60.48	GND
   443.66	   411.95	1
   443.66	   720.63	C94.7uF/25VVGL23
   442.73	   588.51	SI2301CDS-T1-E3
   442.03	   242.61	GND
   442.03	   508.02	GND
   442.03	   765.52	VGL
   440.64	   570.83	R20
   440.64	   720.63	C101uF/50V
   440.64	   757.38	24
   438.55	   765.52	VCOM
   437.15	   570.83	47K
   435.06	   545.24	R21
   435.06	   583.85	1
   433.44	   758.78	0
   431.81	   541.98	NC/47K
   431.81	   669.45	VGL
   431.81	   684.81	VGH
   431.81	   765.52	0
